sport,dport,ack_in,ack_out,byte,duration,flow,inbyte,outbyte,inpacket,outpacket,packet,psh_in,psh_out
65485,443,70,71,16980,1000000,1,4288,12692,70,71,141,4,67
65485,443,89,89,21305,1000000,1,5993,15312,89,89,178,9,80
65485,443,89,88,21657,1000000,1,5219,16438,89,88,177,3,86
65485,443,94,94,23127,1000000,1,5525,17602,94,94,188,3,91
65485,443,99,99,24157,1000000,1,6501,17656,99,99,198,9,90
65485,443,100,101,23748,1000000,1,6706,17042,100,101,201,10,91
65485,443,88,88,21380,1000000,1,5526,15854,88,88,176,6,83
65485,443,103,104,25787,1000000,1,5979,19808,103,104,207,3,101
65485,443,112,113,26684,1000000,1,7553,19131,112,113,225,11,102
65485,443,115,115,26841,1000000,1,8242,18599,115,115,230,16,99
65485,443,116,117,28080,1000000,1,7590,20490,116,117,233,10,108
65485,443,92,92,22748,1000000,1,5433,17315,92,92,184,3,89
65485,443,99,99,23285,1000000,1,6489,16796,99,99,198,9,90
65485,443,108,111,26967,1000000,1,6515,20452,108,111,219,5,106
65485,443,72,72,17604,1000000,1,4015,13589,72,72,144,1,71
65485,443,81,81,19614,1000000,1,4767,14847,81,81,162,3,78
65485,443,118,120,28466,1000000,1,7793,20673,118,120,238,11,109
65485,443,97,96,22735,1000000,1,6810,15925,97,96,193,12,85
65485,443,118,118,28753,1000000,1,7861,20892,118,118,236,10,109
65485,443,89,88,21175,1000000,1,5580,15595,89,88,177,6,82
65485,443,95,94,23736,1000000,1,6182,17554,95,94,189,8,88
65485,443,103,103,24817,1000000,1,7007,17810,103,103,206,11,93
65485,443,80,77,19196,1000000,1,4967,14229,80,77,157,5,75
65485,443,99,98,24047,1000000,1,6156,17891,99,98,197,6,92
65485,443,75,76,18755,1000000,1,4558,14197,75,76,151,4,72
65485,443,24,23,5527,1000000,1,1804,3723,24,23,47,4,20
65485,443,50,49,11599,1000000,1,3589,8010,50,49,99,7,43
65485,443,114,113,26971,1000000,1,7613,19358,114,113,227,11,103
65485,443,104,104,25416,1000000,1,5918,19498,104,104,208,2,102
65485,443,90,92,22201,1000000,1,5368,16833,90,92,182,4,88
65485,443,96,97,22878,1000000,1,6276,16602,96,97,193,8,89
65485,443,123,122,28826,1000000,1,8583,20243,123,122,245,15,108
65485,443,114,112,27593,1000000,1,7323,20270,114,112,226,9,105
65485,443,92,92,22388,1000000,1,5778,16610,92,92,184,6,86
65485,443,117,119,28410,1000000,1,7390,21020,117,119,236,8,111
65485,443,110,110,27012,1000000,1,6611,20401,110,110,220,5,105
65485,443,96,96,23318,1000000,1,5843,17475,96,96,192,5,91
65485,443,101,101,23960,1000000,1,6768,17192,101,101,202,10,92
65485,443,99,101,23349,1000000,1,7251,16098,99,101,200,15,86
65485,443,86,85,20672,1000000,1,5406,15266,86,85,171,6,80
65485,443,98,99,23810,1000000,1,6229,17581,98,99,197,7,92
65485,443,80,81,19203,1000000,1,5368,13835,80,81,161,8,73
65485,443,91,90,22033,1000000,1,5446,16587,91,90,181,4,87
65485,443,63,62,15230,1000000,1,3910,11320,63,62,125,4,59
65485,443,57,57,12834,1000000,1,4475,8359,57,57,114,11,46
65485,443,45,45,10206,1000000,1,3446,6760,45,45,90,8,37
65485,443,44,44,10729,1000000,1,2642,8087,44,44,88,2,42
65485,443,44,43,10483,1000000,1,2920,7563,44,43,87,4,40
65485,443,37,37,8670,1000000,1,2506,6164,37,37,74,4,33
65485,443,31,31,7194,1000000,1,2182,5012,31,31,62,4,27
65485,443,41,41,9222,1000000,1,3230,5992,41,41,82,8,33
65485,443,34,34,7976,1000000,1,2737,5239,34,34,68,7,28
65485,443,33,33,8011,1000000,1,2036,5975,33,33,66,2,31
65485,443,35,34,7045,1000000,1,3795,3250,35,34,69,15,20
65485,443,48,47,10695,1000000,1,3989,6706,48,47,95,11,37
65485,443,51,49,11575,1000000,1,3897,7678,51,49,100,9,42
65485,443,106,106,25715,1000000,1,6530,19185,106,106,212,6,100
65485,443,114,115,27227,1000000,1,7855,19372,114,115,229,13,102
65485,443,124,123,29351,1000000,1,8880,20471,124,123,247,16,108
65485,443,114,113,27899,1000000,1,6930,20969,114,113,227,6,108
65485,443,98,98,23962,1000000,1,5868,18094,98,98,196,4,94
65485,443,95,95,22658,1000000,1,6063,16595,95,95,190,7,88
65485,443,92,92,21780,1000000,1,5996,15784,92,92,184,8,84
65485,443,79,79,19003,1000000,1,4901,14102,79,79,158,5,74
65485,443,89,90,22203,1000000,1,5243,16960,89,90,179,3,87
65485,443,109,109,26203,1000000,1,7664,18539,109,109,218,14,96
65485,443,86,88,20897,1000000,1,5176,15721,86,88,174,4,83
65485,443,90,89,21667,1000000,1,5519,16148,90,89,179,5,85
65485,443,68,68,16104,1000000,1,4446,11658,68,68,136,6,62
65485,443,33,32,7643,1000000,1,2671,4972,33,32,65,7,26
65485,443,29,29,6512,1000000,1,2455,4057,29,29,58,7,22
65485,443,18,18,4449,1000000,1,1099,3350,18,18,36,1,17
65485,443,46,46,10190,1000000,1,3893,6297,46,46,92,11,35
65485,443,42,42,9479,1000000,1,3157,6322,42,42,84,7,35
65485,443,36,37,8432,1000000,1,2738,5694,36,37,73,6,31
65485,443,64,63,15163,1000000,1,4230,10933,64,63,127,6,58
65485,443,98,99,23461,1000000,1,6086,17375,98,99,197,6,92
65485,443,33,32,7621,1000000,1,2417,5204,33,32,65,5,28
65485,443,18,18,4136,1000000,1,1385,2751,18,18,36,3,15
65485,443,27,27,5898,1000000,1,2359,3539,27,27,54,7,20
65485,443,30,30,6516,1000000,1,2636,3880,30,30,60,8,22
65485,443,41,40,8521,1000000,1,4119,4402,41,40,81,15,26
65485,443,32,32,7548,1000000,1,2109,5439,32,32,64,3,29
65485,443,33,33,7254,1000000,1,2798,4456,33,33,66,8,25
65485,443,24,24,5472,1000000,1,1804,3668,24,24,48,4,20
